Điểm thưởng,Điểm quy đổi,IELTS Academic,VSTEP,Aptis Esol,PEIC,PTE Academic,Linguaskill,Cambridge Assessment English,Cambridge English Tests,TOEIC ,,,,TOEFL iBT,TOEFL ITP,JLPT,DELF/DALF,TCF,HSK+HSKK,
,,,,,,,,,,Nghe,Nói,Đọc,Viết,,,,,,HSK,HSKK
1,8.5,5,5.5,80-120,Level 2,29-35,140-159,B1 Preliminary / B1 Business Preliminary,PET (140-159),275-395,120-140,275-380,120-140,35-45,450-499,N4 (145-180),DELF A2 (≤70),200-249,HSK3 (241-300),HSKK Sơ cấp
2,9,5.5,6.0–6.5,121-134,Level 3 (Pass),36-45,160-166,B2 First / B2 Business Vantage (160-172/Pass at Grade C),FCE (160-166),400-430,150,385-410,150,46-59,500-541,N3 (95-120),DELF A2 (>70),250-299,HSK4 (180-210),HSKK Trung cấp
3,9.5,6,7.0–7.5,135-148,Level 3 (Pass with Merit),46-55,167-173,B2 First / B2 Business Vantage (173-179/Pass at Grade B),FCE (167-173),435-460,160,415-430,160,60-78,542-583,N3 (121-149),DELF B1 (≤70),300-349,HSK4 (211-240),HSKK Trung cấp
4,10,6.5,8,149-160,Level 3 (Pass with Distinction),56-65,174-179,B2 First / B2 Business Vantage (180-190/Pass at Grade A),FCE (174-179),465-485,170,435-450,170,79-93,584-626,N3 (150-180),DELF B1 (>70),350-399,HSK4 (241-300),HSKK Trung cấp
5,,7,8.5,161-167,Level 4 (Pass),66-75,>180,C1 Advanced / C1 Business Higher (180-192/Pass at Grade C),CAE (180-186),490,180,455-470,180,94-101,627-643,N2 (90-117),DELF B2 (≤70),400-449,HSK5 (180-210),HSKK Cao cấp
6,,7.5,9,168-174,Level 4 (Pass with Merit),76-83,,C1 Advanced / C1 Business Higher (193-200/Pass atGrade B),CAE (187-193),495,190,475-485,190,102-109,644-660,N2 (118-142),DELF B2 (>70),450-499,HSK5 (211-240),HSKK Cao cấp
7,,8,9.5–10,175-180,Level 4 (Pass with Distinction),84-88,,C2 Proficiency,CAE (194-199),,200,490-495,200,110-114,661-677,≥ N2 (143-180),≥ DALF C1,≥ 500,≥ HSK5 (241-300),HSKK Cao cấp
,,8.5,,,Level 5,89-90,,,CPE (200-215),,,,,115-117,,,,,,
,,9,,,,,,,CPE (216-230),,,,,118-120,,,,,,
