Mã xét tuyển ,"Tên chương trình, ngành, nhóm ngành xét tuyển","Mã ngành, nhóm ngành ","Tên ngành, nhóm ngành ",Phương thức tuyển sinh ,Chỉ tiêu 2024,Điểm chuẩn 2024,Chỉ tiêu 2023,Điểm chuẩn 2023,Tổ hợp xét tuyển THPT 2025,Mô tả chương trình
BF1,Kỹ thuật Sinh học,7420202,Kỹ thuật sinh học,XTTN,32,79.19,32,70,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc
BF1,Kỹ thuật Sinh học,7420202,Kỹ thuật sinh học,DGTD,64,50.29,64,51.84,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc
BF1,Kỹ thuật Sinh học,7420202,Kỹ thuật sinh học,THPT,129,24,64,24.6,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc
BF2,Kỹ  thuật Thực phẩm,7540102,Kỹ thuật thực phẩm,XTTN,36,78.79,36,72.52,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham
BF2,Kỹ  thuật Thực phẩm,7540102,Kỹ thuật thực phẩm,DGTD,108,50.29,108,56.05,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham
BF2,Kỹ  thuật Thực phẩm,7540102,Kỹ thuật thực phẩm,THPT,261,24.54,216,24.49,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),7540102,Kỹ thuật thực phẩm,XTTN,14,81.27,4,72.52,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham-chuong-trinh-tien-tien
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),7540102,Kỹ thuật thực phẩm,DGTD,10,52.55,10,54.8,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham-chuong-trinh-tien-tien
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),7540102,Kỹ thuật thực phẩm,THPT,26,22,26,22.7,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham-chuong-trinh-tien-tien
BF-E19,Kỹ thuật sinh học (CT tiên tiến),7420202,Kỹ thuật sinh học,XTTN,19,81.27,4,72.52,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc-chuong-trinh-tien-tien
BF-E19,Kỹ thuật sinh học (CT tiên tiến),7420202,Kỹ thuật sinh học,DGTD,10,50.29,10,52.95,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc-chuong-trinh-tien-tien
BF-E19,Kỹ thuật sinh học (CT tiên tiến),7420202,Kỹ thuật sinh học,THPT,26,22,26,21,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc-chuong-trinh-tien-tien
CH1,Kỹ thuật Hoá học,7520301,Kỹ thuật hóa học,XTTN,19,76.74,34,70,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-hoa-hoc
CH1,Kỹ thuật Hoá học,7520301,Kỹ thuật hóa học,DGTD,204,51.85,204,50.6,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-hoa-hoc
CH1,Kỹ thuật Hoá học,7520301,Kỹ thuật hóa học,THPT,487,24.38,442,23.7,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-hoa-hoc
CH2,Hoá học,7440112,Hoá học,XTTN,8,76.5,8,72.52,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/hoa-hoc
CH2,Hoá học,7440112,Hoá học,DGTD,98,50.29,48,51.58,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/hoa-hoc
CH2,Hoá học,7440112,Hoá học,THPT,169,23.81,104,23.04,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/hoa-hoc
CH-E11,Kỹ thuật Hóa dược (CT tiên tiến,7520301,Kỹ thuật hóa học,XTTN,16,91.23,16,75.82,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-hoa-duoc-chuong-trinh-tien-tien
CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),7520301,Kỹ thuật hóa học,DGTD,32,54.02,32,55.83,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-hoa-duoc-chuong-trinh-tien-tien
CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),7520301,Kỹ thuật hóa học,THPT,22,24.34,32,23.44,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-hoa-duoc-chuong-trinh-tien-tien
ED2,Công nghệ giáo dục,7140103,Công nghệ giáo dục,XTTN,14,71.05,24,70.45,"A00,A01,D01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/cong-nghe-giao-duc
ED2,Công nghệ giáo dục,7140103,Công nghệ giáo dục,DGTD,36,52.07,36,58.69,"A00,A01,D01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/cong-nghe-giao-duc
ED2,Công nghệ giáo dục,7140103,Công nghệ giáo dục,THPT,65,25.3,60,24.55,"A00,A01,D01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/cong-nghe-giao-duc
ED3,Quản lý giáo dục,7140114,Quản lý giáo dục,XTTN,12,71.05,12,-,"A00,A01,D01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/quan-ly-giao-duc
ED3,Quản lý giáo dục,7140114,Quản lý giáo dục,DGTD,18,50.29,18,-,"A00,A01,D01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/quan-ly-giao-duc
ED3,Quản lý giáo dục,7140114,Quản lý giáo dục,THPT,30,24.78,30,-,"A00,A01,D01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/quan-ly-giao-duc
EE1,Kỹ thuật Điện,7520201,Kỹ thuật điện,XTTN,36,80.03,36,71.66,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-dien
EE1,Kỹ thuật Điện,7520201,Kỹ thuật điện,DGTD,84,65.25,84,61.27,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-dien
EE1,Kỹ thuật Điện,7520201,Kỹ thuật điện,THPT,125,26.81,120,25.55,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-dien
EE2,Kỹ thuật Điều khiển - Tự động hoá,7520216,Kỹ thuật điều khiển và tự động hoá,XTTN,285,86.7,300,80.01,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-dieu-khien-tu-dong-hoa
EE2,Kỹ thuật Điều khiển - Tự động hoá,7520216,Kỹ thuật điều khiển và tự động hoá,DGTD,150,73.77,150,72.23,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-dieu-khien-tu-dong-hoa
EE2,Kỹ thuật Điều khiển - Tự động hoá,7520216,Kỹ thuật điều khiển và tự động hoá,THPT,65,28.16,50,27.57,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-dieu-khien-tu-dong-hoa
EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),7520201,Kỹ thuật điện,XTTN,38,85.14,13,70.45,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/he-thong-dien-va-nang-luong-tai-tao-chuong-trinh-tien-tien
EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),7520201,Kỹ thuật điện,DGTD,20,58.18,20,56.27,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/he-thong-dien-va-nang-luong-tai-tao-chuong-trinh-tien-tien
EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),7520201,Kỹ thuật điện,THPT,17,25.8,17,24.47,"A00,A01,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/he-thong-dien-va-nang-luong-tai-tao-chuong-trinh-tien-tien
