STT,Mã xét tuyển,Tên mã xét tuyển,Dự báo điểm chuẩn ĐGTD,Dự báo điểm chuẩn XTTN 1.2,Dự báo điểm chuẩn XTTN 1.3,Dự báo điểm chuẩn THPT 
1,IT1,CNTT: Khoa học Máy tính,71.62+,74.42+,71.69+,27.8+
2,IT-E10,Khoa học dữ liệu và Trí tuệ nhân tạo (CT tiên tiến),71.62+,74.42+,71.69+,27.8+
3,IT2,CNTT: Kỹ thuật Máy tính,65.56 - 73.02,65.28 - 75.66,61.65 - 75.78,26.5-28
4,IT-E7,Công nghệ thông tin (Global ICT),65.56 - 73.02,65.28 - 75.66,61.65 - 75.78,26.5-28
5,IT-E15,An toàn không gian số - Cyber Security (CT Tiên tiến),65.56 - 73.02,65.28 - 75.66,61.65 - 75.78,26.5-28
6,EE2,Kỹ thuật Điều khiển - Tự động hoá,65.56 - 73.02,65.28 - 75.66,61.65 - 75.78,26.5-28
7,MS2,Kỹ thuật Vi điện tử và Công nghệ nano,65.56 - 73.02,65.28 - 75.66,61.65 - 75.78,26.5-28
8,IT-E6,Công nghệ thông tin (Việt - Nhật),65.56 - 73.02,65.28 - 75.66,61.65 - 75.78,26.5-28
9,EE-E8,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
10,IT-EP,Công nghệ thông tin (Việt - Pháp),61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
11,ET1,Kỹ thuật Điện tử - Viễn thông,61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
12,MI1,Toán - Tin,61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
13,EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),66.64-76.23,67.19-78.5,62.89-85.2,24.5-26.3
14,ET-E9,Hệ thống nhúng thông minh và IoT (CT tiên tiến),61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
15,MI2,Hệ thống thông tin quản lý,61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
16,ME1,Kỹ thuật Cơ điện tử,61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
17,ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),61.44-68.85,58.04-71.07,56.97-65.4,25.5- 27.3
