code,name,loại điểm,2024,2023,Predict,quota,combinations,link
BF1,Kỹ thuật Sinh học,xttn3Score,79.19,70,55,160,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc
BF1,Kỹ thuật Sinh học,tsaScore,50.29,51.84,52.17,160,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc
BF1,Kỹ thuật Sinh học,admissionScore,24,24.6,22,160,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc
BF2,Kỹ  thuật Thực phẩm,xttn3Score,78.79,72.52,55,360,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham
BF2,Kỹ  thuật Thực phẩm,tsaScore,50.29,56.05,52.17,360,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham
BF2,Kỹ  thuật Thực phẩm,admissionScore,24.54,24.49,22,360,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),xttn3Score,81.27,72.52,55,60,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham-chuong-trinh-tien-tien
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),tsaScore,52.55,54.8,52.17,60,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham-chuong-trinh-tien-tien
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),admissionScore,22,22.7,22,60,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-thuc-pham-chuong-trinh-tien-tien
BF-E19,Kỹ thuật sinh học (CT tiên tiến),xttn3Score,81.27,72.52,55,60,"A00,B00,D07,K01",https://ts.hust.edu.vn/training-cate/nganh-dao-tao-dai-hoc/ky-thuat-sinh-hoc-chuong-trinh-tien-tien
